"Name","Slug","Source","LicenseId","LicenseName","LicenseUrl","Severity"
"Balm","balm","MR","LicenseRef-All-Rights-Reserved","","https://mods.twelveiterations.com/permissions","ARR"
"Better Combat","better-combat","MR","LicenseRef-All-Rights-Reserved","",,"ARR"
"Born in Chaos","borninchaos","MR","LicenseRef-All-Rights-Reserved","",,"ARR"
"Create: Copycats+","copycats","MR","LicenseRef-All-Rights-Reserved","",,"ARR"
"Forbidden and Arcanus ","forbidden-arcanus","MR","LicenseRef-All-Rights-Reserved","",,"ARR"
"Galosphere","galosphere","MR","LicenseRef-All-Rights-Reserved","",,"ARR"
"InventoryHUD+","inventoryhudplus","MR","LicenseRef-All-Rights-Reserved","","https://dmitrylovin.com/LICENSE-INVHUD","ARR"
"MultiBeds","multibeds","MR","LicenseRef-All-Rights-Reserved","",,"ARR"
"Reliquary Reincarnations","reliquary-reincarnations","MR","LicenseRef-All-Rights-Reserved","",,"ARR"
"ShetiPhianCore","shetiphiancore","MR","LicenseRef-All-Rights-Reserved","",,"ARR"
"Simple Voice Chat","simple-voice-chat","MR","LicenseRef-All-Rights-Reserved","",,"ARR"
"Sophisticated Backpacks","sophisticated-backpacks","MR","LicenseRef-All-Rights-Reserved","",,"ARR"
"Sophisticated Core","sophisticated-core","MR","LicenseRef-All-Rights-Reserved","",,"ARR"
"Sophisticated Storage","sophisticated-storage","MR","LicenseRef-All-Rights-Reserved","",,"ARR"
"Waystones","waystones","MR","LicenseRef-All-Rights-Reserved","","https://mods.twelveiterations.com/permissions","ARR"
"When Dungeons Arise","when-dungeons-arise","MR","LicenseRef-All-Rights-Reserved","",,"ARR"
"Xaero's Minimap","xaeros-minimap","MR","LicenseRef-All-Rights-Reserved","",,"ARR"
"Xaero's World Map","xaeros-world-map","MR","LicenseRef-All-Rights-Reserved","",,"ARR"
"Architectury API","architectury-api","CF","cf-project-419699","CurseForge — manual check","","CF-MANUAL"
"Ars 'n Spells","ars-n-spells","CF","cf-project-1447914","CurseForge — manual check","","CF-MANUAL"
"BlockUI","blockui","CF","cf-project-522992","CurseForge — manual check","","CF-MANUAL"
"Curios API (Forge/NeoForge)","curios","CF","cf-project-309927","CurseForge — manual check","","CF-MANUAL"
"Domum Ornamentum","domum-ornamentum","CF","cf-project-527361","CurseForge — manual check","","CF-MANUAL"
"FTB Chunks (NeoForge)","ftb-chunks-forge","CF","cf-project-314906","CurseForge — manual check","","CF-MANUAL"
"FTB Library (NeoForge)","ftb-library-forge","CF","cf-project-404465","CurseForge — manual check","","CF-MANUAL"
"FTB Quests (NeoForge)","ftb-quests-forge","CF","cf-project-289412","CurseForge — manual check","","CF-MANUAL"
"FTB Teams (NeoForge)","ftb-teams-forge","CF","cf-project-404468","CurseForge — manual check","","CF-MANUAL"
"Iron's Lib","irons-lib","CF","cf-project-1492763","CurseForge — manual check","","CF-MANUAL"
"Iron's Spells 'n Spellbooks","irons-spells-n-spellbooks","CF","cf-project-855414","CurseForge — manual check","","CF-MANUAL"
"Lionfish API","lionfish-api","CF","cf-project-1001614","CurseForge — manual check","","CF-MANUAL"
"MineColonies","minecolonies","CF","cf-project-245506","CurseForge — manual check","","CF-MANUAL"
"Multi-Piston","multi-piston","CF","cf-project-303278","CurseForge — manual check","","CF-MANUAL"
"Repurposed Structures (Neoforge/Forge)","repurposed-structures","CF","cf-project-368293","CurseForge — manual check","","CF-MANUAL"
"Structurize","structurize","CF","cf-project-298744","CurseForge — manual check","","CF-MANUAL"
"TownTalk","towntalk","CF","cf-project-900364","CurseForge — manual check","","CF-MANUAL"
"AdvancedAE","advancedae","MR","LGPL-3.0-or-later","GNU Lesser General Public License v3.0 or later",,"COPYLEFT"
"Alex's Mobs (Unofficial Port)","alexs-mobs(1.21.1)","MR","GPL-3.0-only","GNU General Public License v3.0 only",,"COPYLEFT"
"Applied Mekanistics","applied-mekanistics","MR","LGPL-3.0-only","GNU Lesser General Public License v3.0 only",,"COPYLEFT"
"Ars Creo","ars-creo","MR","GPL-3.0-only","GNU General Public License v3.0 only",,"COPYLEFT"
"Ars Nouveau","ars-nouveau","MR","GPL-3.0-only","GNU General Public License v3.0 only",,"COPYLEFT"
"Bookshelf","bookshelf-lib","MR","LGPL-2.1-only","GNU Lesser General Public License v2.1 only",,"COPYLEFT"
"Bountiful","bountiful","MR","LGPL-3.0-only","GNU Lesser General Public License v3.0 only",,"COPYLEFT"
"Citadel (Unofficial Port)","citadel-(1.21.1-port)","MR","LGPL-3.0-only","GNU Lesser General Public License v3.0 only",,"COPYLEFT"
"Cloth Config API","cloth-config","MR","LGPL-3.0-only","GNU Lesser General Public License v3.0 only",,"COPYLEFT"
"Comforts","comforts","MR","LGPL-3.0-or-later","GNU Lesser General Public License v3.0 or later",,"COPYLEFT"
"Create: Connected","create-connected","MR","AGPL-3.0-or-later","GNU Affero General Public License v3.0 or later","https://github.com/hlysine/create_connected/blob/main/LICENSE","COPYLEFT"
"Create: Storage [Neo/Forge]","create-storage-neo-forge","MR","GPL-3.0-or-later","GNU General Public License v3.0 or later",,"COPYLEFT"
"Cumulus","cumulus","MR","LGPL-3.0-only","GNU Lesser General Public License v3.0 only","https://github.com/The-Aether-Team/Cumulus/blob/1.19.4-develop/LICENSE.txt","COPYLEFT"
"Distant Horizons","distanthorizons","MR","LGPL-3.0-only","GNU Lesser General Public License v3.0 only",,"COPYLEFT"
"ImmediatelyFast","immediatelyfast","MR","LGPL-3.0-only","GNU Lesser General Public License v3.0 only",,"COPYLEFT"
"Immersive Aircraft","immersive-aircraft","MR","GPL-3.0-only","GNU General Public License v3.0 only",,"COPYLEFT"
"Iris Shaders","iris","MR","LGPL-3.0-only","GNU Lesser General Public License v3.0 only",,"COPYLEFT"
"Kotlin for Forge","kotlin-for-forge","MR","LGPL-2.1-only","GNU Lesser General Public License v2.1 only",,"COPYLEFT"
"Krypton Reno","krypton-fnp","MR","LGPL-3.0-only","GNU Lesser General Public License v3.0 only",,"COPYLEFT"
"Lithium","lithium","MR","LGPL-3.0-only","GNU Lesser General Public License v3.0 only",,"COPYLEFT"
"ModernFix","modernfix","MR","LGPL-3.0-only","GNU Lesser General Public License v3.0 only",,"COPYLEFT"
"Noisium","noisium","MR","LGPL-3.0-only","GNU Lesser General Public License v3.0 only",,"COPYLEFT"
"Sodium Extra","sodium-extra","MR","LGPL-3.0-only","GNU Lesser General Public License v3.0 only",,"COPYLEFT"
"Steam 'n' Rails Neoforge","create-steam-n-rails-1.21.1","MR","LGPL-3.0-or-later","GNU Lesser General Public License v3.0 or later",,"COPYLEFT"
